mapping,frequency,exclusive,inclusive
ArcA<-!O2xt_b,1.00000,,
Cra<-!SurplusFDP,1.00000,,
DcuR<-DcuS,1.00000,,
DcuS<-SUCCxt_b,1.00000,,
FadR<-GLCxt_b,1.00000,,FadR<-!ACxt_b
FadR<-!ACxt_b,1.00000,,FadR<-GLCxt_b
Fnr<-!O2xt_b,1.00000,,
GalR<-!LCTSxt_b,1.00000,,
GalS<-!LCTSxt_b,1.00000,,
GlpR<-1,1.00000,,
IclR<-FadR,1.00000,,
LACUP<-!GLCxt_b,1.00000,,LACUP<-!LCTSxt_b
LACUP<-!LCTSxt_b,1.00000,,LACUP<-!GLCxt_b
Lacl<-!LCTSxt_b,1.00000,,
Mlc<-!GLCxt_b,1.00000,,
PdhR<-!SurplusPYR,1.00000,,
RbsR<-1,1.00000,,
RpiR<-1,1.00000,,
SurplusF6P<-TALBR_reverse,0.33830,SurplusF6P<-PGIR_reverse;SurplusF6P<-PGIR_forward;SurplusF6P<-TALAR_forward,
SurplusF6P<-TKTA2R_reverse,0.17872,SurplusF6P<-TKTB2R_forward;SurplusF6P<-PGIR_forward;SurplusF6P<-PGIR_reverse;SurplusF6P<-!FBP,
SurplusF6P<-TALAR_forward,0.33830,SurplusF6P<-PGIR_reverse;SurplusF6P<-PGIR_forward;SurplusF6P<-TALBR_reverse,
SurplusF6P<-TKTB2R_forward,0.17872,SurplusF6P<-PGIR_reverse;SurplusF6P<-PGIR_forward;SurplusF6P<-TKTA2R_reverse;SurplusF6P<-!FBP,
SurplusF6P<-TKTB2R_reverse,0.07872,SurplusF6P<-PGIR_reverse;SurplusF6P<-TKTA2R_forward,
SurplusF6P<-TKTA2R_forward,0.07872,SurplusF6P<-PGIR_reverse;SurplusF6P<-TKTB2R_reverse,
SurplusF6P<-!FBP,0.29362,SurplusF6P<-TKTB2R_forward;SurplusF6P<-TALBR_forward;SurplusF6P<-TKTA2R_reverse;SurplusF6P<-TALAR_reverse;SurplusF6P<-PGIR_forward,
SurplusF6P<-PGIR_forward,0.03404,SurplusF6P<-TALAR_forward;SurplusF6P<-!FBP;SurplusF6P<-TKTB2R_forward;SurplusF6P<-TALBR_reverse;SurplusF6P<-TKTA2R_reverse;SurplusF6P<-PGIR_reverse,
SurplusF6P<-PGIR_reverse,0.13191,SurplusF6P<-TALAR_forward;SurplusF6P<-TKTB2R_forward;SurplusF6P<-TALBR_forward;SurplusF6P<-TALBR_reverse;SurplusF6P<-TKTA2R_reverse;SurplusF6P<-TALAR_reverse;SurplusF6P<-PGIR_forward;SurplusF6P<-TKTA2R_forward;SurplusF6P<-TKTB2R_reverse,SurplusF6P<-!FBP
SurplusF6P<-TALAR_reverse,0.14894,SurplusF6P<-TALBR_forward;SurplusF6P<-PGIR_reverse;SurplusF6P<-!FBP,
SurplusF6P<-TALBR_forward,0.14894,SurplusF6P<-TALAR_reverse;SurplusF6P<-PGIR_reverse;SurplusF6P<-!FBP,
SurplusFDP<-1,1.00000,,
SurplusPYR<-1,1.00000,,
aceA<-!IclR,1.00000,,
aceB<-!ArcA+!IclR,1.00000,,
aceEF<-!PdhR,1.00000,,
acnA<-LCTSxt_b,1.00000,,acnA<-ACxt_b
acnA<-ACxt_b,1.00000,,acnA<-LCTSxt_b
acnB<-LCTSxt_b,1.00000,,acnB<-ACxt_b
acnB<-ACxt_b,1.00000,,acnB<-LCTSxt_b
acs<-!ETHxt_b+!IclR+!LACxt_b+!LCTSxt_b,1.00000,,
adhE<-1,1.00000,,
cydAB<-1,1.00000,,
cyoABCD<-!ArcA,0.50000,cyoABCD<-!Fnr,
cyoABCD<-!Fnr,0.50000,cyoABCD<-!ArcA,
dctA<-!ArcA+!GLCxt_b+!LACxt_b+!LCTSxt_b,0.98298,dctA<-!ArcA+!GLCxt_b+!LACxt_b+!LCTSxt_b+!RIBxt_b;dctA<-!ArcA+!GLCxt_b+!GLxt_b+!LACxt_b+!LCTSxt_b,
dctA<-!ArcA+!GLCxt_b+!LACxt_b+!LCTSxt_b+!RIBxt_b,0.00851,dctA<-!ArcA+!GLCxt_b+!LACxt_b+!LCTSxt_b;dctA<-!ArcA+!GLCxt_b+!GLxt_b+!LACxt_b+!LCTSxt_b,
dctA<-!ArcA+!GLCxt_b+!GLxt_b+!LACxt_b+!LCTSxt_b,0.00851,dctA<-!ArcA+!GLCxt_b+!LACxt_b+!LCTSxt_b+!RIBxt_b;dctA<-!ArcA+!GLCxt_b+!LACxt_b+!LCTSxt_b,
dcuB<-DcuR,1.00000,,
dcuC<-Fnr,0.50000,dcuC<-ArcA,
dcuC<-ArcA,0.50000,dcuC<-Fnr,
fdnGHI<-Fnr,1.00000,,
focA<-Fnr,0.50000,focA<-ArcA,
focA<-ArcA,0.50000,focA<-Fnr,
frdABCD<-Fnr,1.00000,,
fumA<-!ArcA,0.50000,fumA<-!Fnr,
fumA<-!Fnr,0.50000,fumA<-!ArcA,
fumB<-Fnr,1.00000,,
galE<-!GLCxt_b+!GalR,0.50000,galE<-!GLCxt_b+!GalS,
galE<-!GLCxt_b+!GalS,0.50000,galE<-!GLCxt_b+!GalR,
galK<-!GLCxt_b+!GalR,0.50000,galK<-!GLCxt_b+!GalS,
galK<-!GLCxt_b+!GalS,0.50000,galK<-!GLCxt_b+!GalR,
galM<-!GLCxt_b+!GalR,0.50000,galM<-!GLCxt_b+!GalS,
galM<-!GLCxt_b+!GalS,0.50000,galM<-!GLCxt_b+!GalR,
galP<-GLCxt_b,0.91489,galP<-LCTSxt_b,galP<-ACxt_b
galP<-ACxt_b,1.00000,,
galP<-LCTSxt_b,0.08511,galP<-GLCxt_b,galP<-ACxt_b
galT<-!GLCxt_b+!GalR,0.50000,galT<-!GLCxt_b+!GalS,
galT<-!GLCxt_b+!GalS,0.50000,galT<-!GLCxt_b+!GalR,
glpABC<-!GlpR,1.00000,,
glpD<-!GlpR,1.00000,,
glpF<-!GlpR,1.00000,,
glpK<-!GlpR,1.00000,,
lacZ<-!GLCxt_b+!Lacl,1.00000,,
lpdA<-!PdhR,1.00000,,
mdh<-!ArcA,1.00000,,
ndh<-!Fnr,1.00000,,
pflAB<-Fnr,0.50000,pflAB<-ArcA,
