,SurplusF6P<-TALAR_forward,SurplusF6P<-TKTB2R_forward,SurplusF6P<-TALBR_reverse,SurplusF6P<-TKTA2R_reverse,cyoABCD<-!Fnr,cyoABCD<-!ArcA,dctA<-!ArcA+!GLCxt_b+!LACxt_b+!LCTSxt_b,dcuC<-Fnr,dcuC<-ArcA,focA<-Fnr,focA<-ArcA,fumA<-!Fnr,fumA<-!ArcA,galE<-!GLCxt_b+!GalS,galE<-!GLCxt_b+!GalR,galK<-!GLCxt_b+!GalS,galK<-!GLCxt_b+!GalR,galM<-!GLCxt_b+!GalS,galM<-!GLCxt_b+!GalR,galP<-GLCxt_b,galT<-!GLCxt_b+!GalS,galT<-!GLCxt_b+!GalR,pflAB<-Fnr,pflAB<-ArcA,pflCD<-Fnr,pflCD<-ArcA,ptsGHI<-!Mlc,ptsGHI<-LCTSxt_b,sdhABCD<-!Fnr,sdhABCD<-!ArcA,SurplusF6P<-TKTB2R_reverse,SurplusF6P<-TKTA2R_forward,SurplusF6P<-!FBP,SurplusF6P<-PGIR_reverse,SurplusF6P<-TALBR_forward,SurplusF6P<-PGIR_forward,SurplusF6P<-TALAR_reverse,dctA<-!ArcA+!GLCxt_b+!LACxt_b+!LCTSxt_b+!RIBxt_b,dctA<-!ArcA+!GLCxt_b+!GLxt_b+!LACxt_b+!LCTSxt_b,galP<-LCTSxt_b
SurplusF6P<-TALAR_forward,,38.095238095238095,0.0,38.095238095238095,33.829787234042556,33.829787234042556,34.41558441558442,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,35.116279069767444,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,10.81081081081081,10.81081081081081,26.811594202898554,0.0,41.42857142857143,0.0,41.42857142857143,0.0,0.0,20.0
SurplusF6P<-TKTB2R_forward,20.125786163522015,,20.125786163522015,0.0,17.872340425531917,17.872340425531917,17.316017316017316,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,18.6046511627907,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,27.027027027027028,27.027027027027028,0.0,0.0,2.857142857142857,0.0,2.857142857142857,50.0,50.0,10.0
SurplusF6P<-TALBR_reverse,0.0,38.095238095238095,,38.095238095238095,33.829787234042556,33.829787234042556,34.41558441558442,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,35.116279069767444,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,10.81081081081081,10.81081081081081,26.811594202898554,0.0,41.42857142857143,0.0,41.42857142857143,0.0,0.0,20.0
SurplusF6P<-TKTA2R_reverse,20.125786163522015,0.0,20.125786163522015,,17.872340425531917,17.872340425531917,17.316017316017316,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,18.6046511627907,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,27.027027027027028,27.027027027027028,0.0,0.0,2.857142857142857,0.0,2.857142857142857,50.0,50.0,10.0
cyoABCD<-!Fnr,50.0,50.0,50.0,50.0,,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
cyoABCD<-!ArcA,50.0,50.0,50.0,50.0,0.0,,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
dctA<-!ArcA+!GLCxt_b+!LACxt_b+!LCTSxt_b,100.0,95.23809523809523,100.0,95.23809523809523,98.29787234042553,98.29787234042553,,98.29787234042553,98.29787234042553,98.29787234042553,98.29787234042553,98.29787234042553,98.29787234042553,98.29787234042553,98.29787234042553,98.29787234042553,98.29787234042553,98.29787234042553,98.29787234042553,98.13953488372093,98.29787234042553,98.29787234042553,98.29787234042553,98.29787234042553,98.29787234042553,98.29787234042553,98.29787234042553,98.29787234042553,98.29787234042553,98.29787234042553,89.1891891891892,89.1891891891892,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0
dcuC<-Fnr,50.0,50.0,50.0,50.0,50.0,50.0,50.0,,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
dcuC<-ArcA,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
focA<-Fnr,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
