mapping,frequency,exclusive,inclusive
ArcA<-!O2xt_b,1.00000,,
Cra<-!SurplusFDP,1.00000,,
DcuR<-DcuS,1.00000,,
DcuS<-SUCCxt_b,1.00000,,
FadR<-GLCxt_b,1.00000,,FadR<-!ACxt_b
FadR<-!ACxt_b,1.00000,,FadR<-GLCxt_b
Fnr<-!O2xt_b,1.00000,,
GalR<-!LCTSxt_b,1.00000,,
GalS<-!LCTSxt_b,1.00000,,
GlpR<-1,1.00000,,
IclR<-FadR,1.00000,,
LACUP<-!GLCxt_b,0.40000,LACUP<-!GLCxt_b+!LCTSxt_b;LACUP<-1,
LACUP<-!GLCxt_b+!LCTSxt_b,0.20000,LACUP<-!LCTSxt_b;LACUP<-!GLCxt_b;LACUP<-1,
LACUP<-!LCTSxt_b,0.40000,LACUP<-!GLCxt_b+!LCTSxt_b;LACUP<-1,
LACUP<-1,0.20000,LACUP<-!GLCxt_b+!LCTSxt_b;LACUP<-!LCTSxt_b;LACUP<-!GLCxt_b,
Lacl<-!LCTSxt_b,1.00000,,
Mlc<-!GLCxt_b,1.00000,,
PdhR<-!SurplusPYR,1.00000,,
RbsR<-1,1.00000,,
RpiR<-1,1.00000,,
SurplusF6P<-1,1.00000,,
SurplusFDP<-1,1.00000,,
SurplusPYR<-1,1.00000,,
aceA<-!IclR,1.00000,,
aceB<-!ArcA+!IclR,1.00000,,
aceEF<-!PdhR,1.00000,,
acnA<-ETHxt_b,0.33333,acnA<-LACxt_b;acnA<-GLCxt_b,acnA<-LCTSxt_b;acnA<-ACxt_b
acnA<-GLCxt_b,0.33333,acnA<-LACxt_b;acnA<-ETHxt_b,acnA<-LCTSxt_b;acnA<-ACxt_b
acnA<-LCTSxt_b,1.00000,,acnA<-ACxt_b
acnA<-ACxt_b,1.00000,,acnA<-LCTSxt_b
acnA<-LACxt_b,0.33333,acnA<-ETHxt_b;acnA<-GLCxt_b,acnA<-LCTSxt_b;acnA<-ACxt_b
acnB<-ETHxt_b,0.33333,acnB<-GLCxt_b;acnB<-LACxt_b,acnB<-LCTSxt_b;acnB<-ACxt_b
acnB<-GLCxt_b,0.33333,acnB<-ETHxt_b;acnB<-LACxt_b,acnB<-LCTSxt_b;acnB<-ACxt_b
acnB<-LCTSxt_b,1.00000,,acnB<-ACxt_b
acnB<-ACxt_b,1.00000,,acnB<-LCTSxt_b
acnB<-LACxt_b,0.33333,acnB<-GLCxt_b;acnB<-ETHxt_b,acnB<-LCTSxt_b;acnB<-ACxt_b
acs<-!ETHxt_b+!IclR+!LACxt_b+!LCTSxt_b,1.00000,,
adhE<-!Cra,1.00000,,adhE<-!O2xt_b
adhE<-!O2xt_b,1.00000,,adhE<-!Cra
cydAB<-1,1.00000,,
cyoABCD<-!Fnr,0.50000,cyoABCD<-!ArcA,
cyoABCD<-!ArcA,0.50000,cyoABCD<-!Fnr,
dctA<-!ArcA+!GLCxt_b+!LACxt_b+!LCTSxt_b,1.00000,,
dcuB<-DcuR,1.00000,,
dcuC<-Fnr,0.50000,dcuC<-ArcA,
dcuC<-ArcA,0.50000,dcuC<-Fnr,
fdnGHI<-Fnr,1.00000,,
focA<-Fnr,0.50000,focA<-ArcA,
focA<-ArcA,0.50000,focA<-Fnr,
frdABCD<-Fnr,1.00000,,
fumA<-!Fnr,0.50000,fumA<-!ArcA,
fumA<-!ArcA,0.50000,fumA<-!Fnr,
fumB<-Fnr,1.00000,,
galE<-!GLCxt_b+!GalS,0.50000,galE<-!GLCxt_b+!GalR,
galE<-!GLCxt_b+!GalR,0.50000,galE<-!GLCxt_b+!GalS,
galK<-!GLCxt_b+!GalS,0.50000,galK<-!GLCxt_b+!GalR,
galK<-!GLCxt_b+!GalR,0.50000,galK<-!GLCxt_b+!GalS,
galM<-!GLCxt_b+!GalS,0.50000,galM<-!GLCxt_b+!GalR,
galM<-!GLCxt_b+!GalR,0.50000,galM<-!GLCxt_b+!GalS,
galP<-ETHxt_b,0.33333,galP<-GLCxt_b;galP<-LACxt_b,galP<-LCTSxt_b;galP<-ACxt_b
galP<-GLCxt_b,0.33333,galP<-ETHxt_b;galP<-LACxt_b,galP<-LCTSxt_b;galP<-ACxt_b
galP<-LCTSxt_b,1.00000,,galP<-ACxt_b
galP<-ACxt_b,1.00000,,galP<-LCTSxt_b
galP<-LACxt_b,0.33333,galP<-ETHxt_b;galP<-GLCxt_b,galP<-LCTSxt_b;galP<-ACxt_b
galT<-!GLCxt_b+!GalS,0.50000,galT<-!GLCxt_b+!GalR,
galT<-!GLCxt_b+!GalR,0.50000,galT<-!GLCxt_b+!GalS,
glpABC<-!GlpR,1.00000,,
glpD<-!GlpR,1.00000,,
glpF<-!GlpR,1.00000,,
glpK<-!GlpR,1.00000,,
lacZ<-!GLCxt_b+!Lacl,1.00000,,
lpdA<-!PdhR,1.00000,,
mdh<-!ArcA,1.00000,,
ndh<-!Fnr,1.00000,,
pflAB<-Fnr,0.50000,pflAB<-ArcA,
pflAB<-ArcA,0.50000,pflAB<-Fnr,
pflCD<-Fnr,0.50000,pflCD<-ArcA,
pflCD<-ArcA,0.50000,pflCD<-Fnr,
pgk<-ETHxt_b,0.33333,pgk<-GLCxt_b;pgk<-LACxt_b,pgk<-ACxt_b;pgk<-LCTSxt_b
pgk<-GLCxt_b,0.33333,pgk<-LACxt_b;pgk<-ETHxt_b,pgk<-ACxt_b;pgk<-LCTSxt_b
pgk<-LCTSxt_b,1.00000,,pgk<-ACxt_b
pgk<-ACxt_b,1.00000,,pgk<-LCTSxt_b
pgk<-LACxt_b,0.33333,pgk<-GLCxt_b;pgk<-ETHxt_b,pgk<-ACxt_b;pgk<-LCTSxt_b
ppsA<-Cra,1.00000,,
ptsGHI<-ETHxt_b,0.25000,ptsGHI<-!Mlc;ptsGHI<-LACxt_b;ptsGHI<-GLCxt_b,ptsGHI<-LCTSxt_b;ptsGHI<-ACxt_b
ptsGHI<-GLCxt_b,0.25000,ptsGHI<-!Mlc;ptsGHI<-LACxt_b;ptsGHI<-ETHxt_b,ptsGHI<-LCTSxt_b;ptsGHI<-ACxt_b
ptsGHI<-LCTSxt_b,0.75000,ptsGHI<-!Mlc,ptsGHI<-ACxt_b
