,LACUP<-!LCTSxt_b,LACUP<-!GLCxt_b,LACUP<-!GLCxt_b & !LCTSxt_b
ArcA,40,40,20
Cra,40,40,20
DcuR,40,40,20
DcuS,40,40,20
FadR,40,40,20
Fnr,40,40,20
GalR,40,40,20
GalS,40,40,20
IclR,40,40,20
LACUP,50,50,25
Lacl,40,40,20
Mlc,40,40,20
PdhR,40,40,20
aceA,40,40,20
aceB,40,40,20
aceEF,40,40,20
acnA,40,40,20
acnB,40,40,20
acs,40,40,20
adhE,40,40,20
cyoABCD,40,40,20
dctA,40,40,20
dcuB,40,40,20
dcuC,40,40,20
fdnGHI,40,40,20
focA,40,40,20
frdABCD,40,40,20
fumA,40,40,20
fumB,40,40,20
galE,40,40,20
galK,40,40,20
galM,40,40,20
galP,40,40,20
galT,40,40,20
glpABC,40,40,20
glpD,40,40,20
glpF,40,40,20
glpK,40,40,20
lacZ,40,40,20
lpdA,40,40,20
mdh,40,40,20
ndh,40,40,20
pflAB,40,40,20
pflCD,40,40,20
pgk,40,40,20
ppsA,40,40,20
ptsGHI,40,40,20
pykF,40,40,20
rbsABCD,40,40,20
rbsK,40,40,20
rpiB,40,40,20
sdhABCD,40,40,20
sucAB,40,40,20
