Time,ACEA,ACEB,ACEE,ACKAR,ACNAR,ACNBR,ACS,ACUPR,ACex,ACxt_b,ADHER,ADK,ATPAR,ATPM,ArcA,CO2ex,CO2xt_b,COZTXR,CYDA,CYOA,Cra,Crp,DCTAR,DCUAR,DCUBR,DCUC,DLD1R,DLD2,DcuR,DcuS,ENOR,ETHUPR,ETHex,ETHxt_b,FBAR,FBP,FDNG,FDOH,FORUPR,FORex,FORxt_b,FRDA,FUMAR,FUMBR,FUMCR,FadR,Fnr,GALER,GALKR,GALM1R,GALM2R,GALTR,GALUR,GAPAR,GLCPTS,GLCUP,GLCex,GLCxt_b,GLK,GLPA,GLPD,GLPK,GLTA,GLUPR,GLex,GLxt_b,GND,GPMAR,GPMBR,GPSAR,GalR,GalS,GlpR,Growth,ICDAR,IclR,LACDN,LACUP,LACYR,LACZ,LACex,LACxt_b,LCTSex,LCTSxt_b,Lacl,MAEB,MDHR,Mlc,NDH,NUOA,O2TXR,O2ex,O2xt_b,PCKA,PFKA,PFKB,PFLA,PFLC,PGIR,PGKR,PGL,PGMR,PIUP2R,PIex,PIxt_b,PNTA1,PNTA2,PPA,PPC,PPSA,PTAR,PYKA,PYKF,PYRUPR,PYRex,PYRxt_b,PdhR,RBSK,RIBUPR,RIBex,RIBxt_b,RPER,RPIAR,RPIBR,RbsR,RpiR,SDHA1,SDHA2,SFCA,SUCA,SUCCR,SUCCex,SUCCxt_b,SurplusF6P,SurplusFDP,SurplusPYR,TALAR,TALBR,TKTA1R,TKTA2R,TKTB1R,TKTB2R,TPIAR,ZWFR,aceA,aceB,aceEF,ackA,acnA,acnB,acs,adhE,adk,atpABCDEFGHI,crr,cydAB,cyoABCD,dctA,dcuA,dcuB,dcuC,dld,eno,fba,fbp,fdnGHI,fdolHG,focA,frdABCD,fumA,fumB,fumC,galE,galK,galM,galP,galT,galU,gapA,glk,glpABC,glpD,glpF,glpK,gltA,gnd,gpmA,gpmB,gpsA,icdA,lacY,lacZ,lpdA,maeB,mdh,ndh,nuoABEFGHIJKLMN,pckA,pfkA,pfkB,pflAB,pflCD,pgi,pgk,pgl,pgm,pitAB,pntAB,ppa,ppc,ppsA,pta,ptsGHI,pykA,pykF,rbsABCD,rbsK,rpe,rpiA,rpiB,sdhABCD,sfcA,sucAB,sucCD,talA,talB,tktA,tktB,tpiA,zwf,VGRO,biomass
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0,0.0,0.0,0,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0.0,0.011
1,0.0,0.0,4.5451803562,0.0,-99996.9222955013,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.0895397883,0.0,0,11.0858546711,0.0,-11.0858546711,0.0,20.608094962,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8.6290508262,0.0,0.0,0.0,4.1940774128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,-99997.6282311076,1,0,0.0,0.0,0.0,0.0,0.0,0.0,9.6120826517,6.4122810719,0.0877189281,-6.5,1.6,0.0877189281,0.0,0.0,0.0,2.0777044987,0.0,0.0,0.0,4.9714966976,99999.0,-99990.3709491738,0.0,0,0,1,0.6597529031,2.0777044987,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0,0.0,1.3717688924,0,0.0,19.2363260696,10.304047481,-10.304047481,9999.0,0.0,4.1940774128,0.0,0.0,0.0,1.3965527218,9.6120826517,4.9714966976,0.0,2.4015005672,-2.4015005672,9999.0,0.0,0.0,0.0,1.8802957737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,2.8437073942,99999.0,-99996.8722106966,1,1,1.3717688924,1.3717688924,0.0,1.3717688924,1.3717688924,0.0,0.0,0,1,1,99999.0,-99997.4593907803,-99997.4593907803,-99997.6969018254,99999.0,99999.0,-4.1940774128,4.9714966976,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6597529031,0.011
2,0.0,0.0,0.0,0.0,-99999.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0012315742,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,-99999.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5992778877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,-99999.0,0.0,0,0,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0,0.0,0.0,0,0.0,0.0,0.0,0.0,9998.9988552802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9998.9997332072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,99999.0,-99999.0,-99999.0,99999.0,99999.0,-99999.0,0.0,0.0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0.0,0.0110728128
58,0.0,0.0,4.5451803562,0.0,-99996.9222955013,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.0895397883,0.0,0,11.0858546711,0.0831591502,-11.0858546711,0.0,20.608094962,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8.6290508262,0.0,0.0,0.0,4.1940774128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99997.6282311076,0.0,99999.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,9.6120826517,6.4122810719,0.0877189281,-6.5,1.5512410657,0.0877189281,0.0,0.0,0.0,2.0777044987,0.0,0.0,0.0,4.9714966976,99999.0,-99990.3709491738,0.0,0,0,1,0.6597529031,2.0777044987,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0,0.0,1.3717688924,0,0.0,19.2363260696,10.304047481,-10.304047481,9998.9227054844,0.0,4.1940774128,0.0,0.0,0.0,1.3965527218,9.6120826517,4.9714966976,0.0,2.4015005672,-2.4015005672,9998.9819854416,0.0,0.0,0.0,1.8802957737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.8437073942,2.1277893034,0.0,1,1,1.3717688924,1.3717688924,0.0,1.3717688924,1.3717688924,0.0,0.0,1,1,1,99999.0,-99997.4593907803,-99997.4593907803,-99997.6969018254,99999.0,99999.0,-4.1940774128,4.9714966976,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0.6597529031,0.0159165103
253,0.0,0.0,4.5451803562,0.0,-99996.9222955013,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.0895397883,0.0,0,11.0858546711,0.7885483942,-11.0858546711,0.0,20.608094962,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8.6290508262,0.0,0.0,0.0,4.1940774128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99997.6282311076,0.0,99999.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,9.6120826517,6.4122810719,0.0877189281,-6.5,1.1376482407,0.0877189281,0.0,0.0,0.0,2.0777044987,0.0,0.0,0.0,4.9714966976,99999.0,-99990.3709491738,0.0,0,0,1,0.6597529031,2.0777044987,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0,0.0,1.3717688924,0,0.0,19.2363260696,10.304047481,-10.304047481,9998.2670624218,0.0,4.1940774128,0.0,0.0,0.0,1.3965527218,9.6120826517,4.9714966976,0.0,2.4015005672,-2.4015005672,9998.8291787366,0.0,0.0,0.0,1.8802957737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.8437073942,2.1277893034,0.0,1,1,1.3717688924,1.3717688924,0.0,1.3717688924,1.3717688924,0.0,0.0,1,1,1,99999.0,-99997.4593907803,-99997.4593907803,-99997.6969018254,99999.0,99999.0,-4.1940774128,4.9714966976,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0.6597529031,0.0576203211
420,0.0,0.0,12.4179674838,6.9989519029,-99997.7945225215,99999.0,0.0,-6.9989519029,6.9989519029,0.0,0.0,0.0,-40.3612441741,0.0,0,16.3350381421,2.7288264247,-16.3350381421,0.0,30.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,19.3917110278,0.0,0.0,0.0,9.918014306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99999.0,0.0,99999.0,1,0,6.5,6.5,6.5,0.0,6.5,-6.5,21.070366582,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,1.2054774785,0.0,0.0,0.0,5.9224444075,-99979.6082889722,99999.0,0.0,0,0,1,1.1266144659,1.2054774785,1,0.0,0.0,6.5,6.5,0.0,0.0,-6.5,5.8,0,0.0,0.0,1,0.0,30.0,15.0,-15.0,9996.4636186631,0.0,9.918014306,0.0,0.0,0.0,6.8522326993,21.070366582,5.9224444075,6.5,4.100876656,-4.100876656,9998.4088611672,0.0,7.4765492751,0.0,3.2108512278,0.0,6.9989519029,15.6062864223,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.1446446194,2.7777997882,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,99999.0,-99997.2248870865,-99997.2248870865,99999.0,99999.0,-99997.6304682942,-9.918014306,5.9224444075,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1.1266144659,0.1723332466
421,0.0,0.0,12.4179674838,6.9989519029,-99997.7945225215,99999.0,0.0,-6.9989519029,6.9989519029,0.0122671483,0.0,0.0,-40.3612441741,0.0,0,16.3350381421,2.7574570445,-16.3350381421,0.0,30.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,19.3917110278,0.0,0.0,0.0,9.918014306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99999.0,0.0,99999.0,0,0,6.5,6.5,6.5,0.0,6.5,-6.5,21.070366582,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,1.2054774785,0.0,0.0,0.0,5.9224444075,-99979.6082889722,99999.0,0.0,0,0,1,1.1266144659,1.2054774785,1,0.0,0.0,6.5,6.5,0.0,0.0,-6.5,5.7886073709,0,0.0,0.0,1,0.0,30.0,15.0,-15.0,9996.4373279806,0.0,9.918014306,0.0,0.0,0.0,6.8522326993,21.070366582,5.9224444075,6.5,4.100876656,-4.100876656,9998.4016735102,0.0,7.4765492751,0.0,3.2108512278,0.0,6.9989519029,15.6062864223,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.1446446194,2.7777997882,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,99999.0,-99997.2248870865,-99997.2248870865,99999.0,99999.0,-99997.6304682942,-9.918014306,5.9224444075,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1.1266144659,0.1742857551
422,0.0,0.0,12.4179674838,6.9989519029,-99997.7945225215,99999.0,0.0,-6.9989519029,6.9989519029,0.0246732814,0.0,0.0,-40.3612441741,0.0,0,16.3350381421,2.7864120447,-16.3350381421,0.0,30.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,19.3917110278,0.0,0.0,0.0,9.918014306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99999.0,0.0,99999.0,0,0,6.5,6.5,6.5,0.0,6.5,-6.5,21.070366582,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,1.2054774785,0.0,0.0,0.0,5.9224444075,-99979.6082889722,99999.0,0.0,0,0,1,1.1266144659,1.2054774785,0,0.0,0.0,6.5,6.5,0.0,0.0,-6.5,5.7770856652,0,0.0,0.0,1,0.0,30.0,15.0,-15.0,9996.4107394289,0.0,9.918014306,0.0,0.0,0.0,6.8522326993,21.070366582,5.9224444075,6.5,4.100876656,-4.100876656,9998.3944044182,0.0,7.4765492751,0.0,3.2108512278,0.0,6.9989519029,15.6062864223,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.1446446194,2.7777997882,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,99999.0,-99997.2248870865,-99997.2248870865,99999.0,99999.0,-99997.6304682942,-9.918014306,5.9224444075,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1.1266144659,0.1762603852
475,0.0,0.0,12.4179674838,6.9989519029,-99997.7945225215,99999.0,0.0,-6.9989519029,6.9989519029,0.9292572134,0.0,0.0,-40.3612441741,0.0,0,16.3350381421,4.8976442552,-16.3350381421,0.0,30.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,19.3917110278,0.0,0.0,0.0,9.918014306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99999.0,0.0,99999.0,0,0,6.5,6.5,6.5,0.0,6.5,-6.5,21.070366582,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,1.2054774785,0.0,0.0,0.0,5.9224444075,-99979.6082889722,99999.0,0.0,0,0,1,1.1266144659,1.2054774785,0,0.0,0.0,6.5,6.5,0.0,0.0,-6.5,4.9369890968,0,0.0,0.0,1,0.0,30.0,15.0,-15.0,9994.4720550403,0.0,0.0,9.918014306,0.0,0.0,6.8522326993,21.070366582,5.9224444075,6.5,4.100876656,-4.100876656,9997.8643840036,0.0,7.4765492751,0.0,3.2108512278,0.0,6.9989519029,15.6062864223,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.1446446194,2.7777997882,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,99999.0,-99997.2248870865,-99997.2248870865,99999.0,99999.0,-99997.6304682942,-9.918014306,5.9224444075,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1.1266144659,0.3202390611
561,0.0,0.0,12.4179674838,6.9989519029,-99997.7945225215,99999.0,0.0,-6.9989519029,6.9989519029,4.218880405,0.0,0.0,-40.3612441741,0.0,0,16.3350381421,12.5753822711,-16.3350381421,0.0,30.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,19.3917110278,0.0,0.0,0.0,9.918014306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99999.0,0.0,99999.0,0,0,6.5,6.5,6.5,0.0,6.5,-6.5,21.070366582,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,1.2054774785,0.0,0.0,0.0,5.9224444075,-99979.6082889722,99999.0,0.0,0,0,1,1.1266144659,1.2054774785,0,0.0,0.0,6.5,6.5,0.0,0.0,-6.5,1.881881597,0,0.0,0.0,1,0.0,30.0,15.0,-15.0,9987.4218069639,0.0,0.0,9.918014306,0.0,0.0,6.8522326993,21.070366582,5.9224444075,6.5,4.100876656,-4.100876656,9995.9369039915,0.0,7.4765492751,0.0,3.2108512278,0.0,6.9989519029,15.6062864223,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.1446446194,2.7777997882,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,99999.0,-99997.2248870865,-99997.2248870865,99999.0,99999.0,-99997.6304682942,-9.918014306,5.9224444075,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1.1266144659,0.8438340253
