mapping,frequency,exclusive,inclusive
ArcA<-!O2xt_b,1.00000,,
Cra<-!SurplusFDP,1.00000,,
DcuR<-DcuS,1.00000,,
DcuS<-SUCCxt_b,1.00000,,
FadR<-!ACxt_b,1.00000,,FadR<-GLCxt_b
FadR<-GLCxt_b,1.00000,,FadR<-!ACxt_b
Fnr<-!O2xt_b,1.00000,,
GalR<-!LCTSxt_b,1.00000,,
GalS<-!LCTSxt_b,1.00000,,
GlpR<-1,1.00000,,
IclR<-FadR,1.00000,,
LACUP<-1,0.20000,LACUP<-!GLCxt_b;LACUP<-!GLCxt_b+!LCTSxt_b;LACUP<-!LCTSxt_b,
LACUP<-!LCTSxt_b,0.40000,LACUP<-!GLCxt_b+!LCTSxt_b;LACUP<-1,
LACUP<-!GLCxt_b,0.40000,LACUP<-!GLCxt_b+!LCTSxt_b;LACUP<-1,
LACUP<-!GLCxt_b+!LCTSxt_b,0.20000,LACUP<-!GLCxt_b;LACUP<-!LCTSxt_b;LACUP<-1,
Lacl<-!LCTSxt_b,1.00000,,
Mlc<-!GLCxt_b,1.00000,,
PdhR<-!SurplusPYR,1.00000,,
RbsR<-1,1.00000,,
RpiR<-1,1.00000,,
SurplusF6P<-1,1.00000,,
SurplusFDP<-1,1.00000,,
SurplusPYR<-1,1.00000,,
aceA<-!IclR,1.00000,,
aceB<-!ArcA+!IclR,1.00000,,
aceEF<-!PdhR,1.00000,,
acnA<-ACxt_b,1.00000,,acnA<-LCTSxt_b
acnA<-LCTSxt_b,1.00000,,acnA<-ACxt_b
acnB<-ACxt_b,1.00000,,acnB<-LCTSxt_b
acnB<-LCTSxt_b,1.00000,,acnB<-ACxt_b
acs<-!ETHxt_b+!IclR+!LACxt_b+!LCTSxt_b,1.00000,,
adhE<-!O2xt_b,1.00000,,adhE<-!Cra
adhE<-!Cra,1.00000,,adhE<-!O2xt_b
cydAB<-1,1.00000,,
cyoABCD<-!Fnr,0.50000,cyoABCD<-!ArcA,
cyoABCD<-!ArcA,0.50000,cyoABCD<-!Fnr,
dctA<-!ArcA+!GLCxt_b+!LACxt_b+!LCTSxt_b,1.00000,,
dcuB<-DcuR,1.00000,,
dcuC<-ArcA,0.50000,dcuC<-Fnr,
dcuC<-Fnr,0.50000,dcuC<-ArcA,
fdnGHI<-Fnr,1.00000,,
focA<-ArcA,0.50000,focA<-Fnr,
focA<-Fnr,0.50000,focA<-ArcA,
frdABCD<-Fnr,1.00000,,
fumA<-!Fnr,0.50000,fumA<-!ArcA,
fumA<-!ArcA,0.50000,fumA<-!Fnr,
fumB<-Fnr,1.00000,,
galE<-!GLCxt_b+!GalS,0.50000,galE<-!GLCxt_b+!GalR,
galE<-!GLCxt_b+!GalR,0.50000,galE<-!GLCxt_b+!GalS,
galK<-!GLCxt_b+!GalS,0.50000,galK<-!GLCxt_b+!GalR,
galK<-!GLCxt_b+!GalR,0.50000,galK<-!GLCxt_b+!GalS,
galM<-!GLCxt_b+!GalS,0.50000,galM<-!GLCxt_b+!GalR,
galM<-!GLCxt_b+!GalR,0.50000,galM<-!GLCxt_b+!GalS,
galP<-ACxt_b,1.00000,,galP<-LCTSxt_b
galP<-LCTSxt_b,1.00000,,galP<-ACxt_b
galT<-!GLCxt_b+!GalS,0.50000,galT<-!GLCxt_b+!GalR,
galT<-!GLCxt_b+!GalR,0.50000,galT<-!GLCxt_b+!GalS,
glpABC<-!GlpR,1.00000,,
glpD<-!GlpR,1.00000,,
glpF<-!GlpR,1.00000,,
glpK<-!GlpR,1.00000,,
lacZ<-!GLCxt_b+!Lacl,1.00000,,
lpdA<-!PdhR,1.00000,,
mdh<-!ArcA,1.00000,,
ndh<-!Fnr,1.00000,,
pflAB<-ArcA,0.50000,pflAB<-Fnr,
pflAB<-Fnr,0.50000,pflAB<-ArcA,
pflCD<-ArcA,0.50000,pflCD<-Fnr,
pflCD<-Fnr,0.50000,pflCD<-ArcA,
pgk<-ACxt_b,1.00000,,pgk<-LCTSxt_b
pgk<-LCTSxt_b,1.00000,,pgk<-ACxt_b
ppsA<-Cra,1.00000,,
ptsGHI<-ACxt_b,1.00000,,
ptsGHI<-!Mlc,0.50000,ptsGHI<-LCTSxt_b,ptsGHI<-ACxt_b
ptsGHI<-LCTSxt_b,0.50000,ptsGHI<-!Mlc,ptsGHI<-ACxt_b
pykF<-!Cra,1.00000,,
rbsABCD<-!RbsR,1.00000,,
rbsK<-!RbsR,1.00000,,
rpiB<-!RpiR,1.00000,,
sdhABCD<-!Fnr,0.50000,sdhABCD<-!ArcA,
sdhABCD<-!ArcA,0.50000,sdhABCD<-!Fnr,
sucAB<-!PdhR,1.00000,,
