,FadR<-GLCxt_b,GalR<-!LCTSxt_b,galK<-!GLCxt_b & !GalR,pgk<-ACxt_b,ptsGHI<-ACxt_b,sucAB<-!PdhR,ArcA<-!O2xt_b,galP<-ACxt_b,aceA<-!IclR,adhE<-!O2xt_b,FadR<-!ACxt_b,fumA<-!ArcA,acnA<-ACxt_b,galK<-!GLCxt_b & !GalS,aceEF<-!PdhR,DcuS<-SUCCxt_b,lacZ<-!GLCxt_b & !Lacl,dcuC<-ArcA,galT<-!GLCxt_b & !GalR,mdh<-!ArcA,fumA<-!Fnr,Cra<-!SurplusFDP,galE<-!GLCxt_b & !GalS,sdhABCD<-!ArcA,lpdA<-!PdhR,cyoABCD<-!Fnr,sdhABCD<-!Fnr,GalS<-!LCTSxt_b,pgk<-LCTSxt_b,ptsGHI<-LCTSxt_b,cyoABCD<-!ArcA,pykF<-!Cra,acnB<-ACxt_b,adhE<-!Cra,DcuR<-DcuS,rbsABCD<-!RbsR,fdnGHI<-Fnr,fumB<-Fnr,Fnr<-!O2xt_b,focA<-Fnr,galT<-!GLCxt_b & !GalS,pflCD<-Fnr,galM<-!GLCxt_b & !GalS,dctA<-!ArcA & !GLCxt_b & !LACxt_b & !LCTSxt_b,LACUP<-!GLCxt_b & !LCTSxt_b,dcuC<-Fnr,galP<-LCTSxt_b,galE<-!GLCxt_b & !GalR,LACUP<-!LCTSxt_b,pflAB<-ArcA,glpD<-!GlpR,acnB<-LCTSxt_b,rbsK<-!RbsR,glpABC<-!GlpR,LACUP<-!GLCxt_b,frdABCD<-Fnr,acs<-!ETHxt_b & !IclR & !LACxt_b & !LCTSxt_b,glpK<-!GlpR,acnA<-LCTSxt_b,Mlc<-!GLCxt_b,pflCD<-ArcA,ndh<-!Fnr,ptsGHI<-!Mlc,ppsA<-Cra,rpiB<-!RpiR,aceB<-!ArcA & !IclR,galM<-!GLCxt_b & !GalR,IclR<-FadR,pflAB<-Fnr,dcuB<-DcuR,glpF<-!GlpR,focA<-ArcA,PdhR<-!SurplusPYR,Lacl<-!LCTSxt_b
ArcA,100,100,50,100,100,100,100,100,100,100,100,50,100,50,100,100,100,50,50,100,50,100,50,50,100,50,50,100,100,50,50,100,100,100,100,100,100,100,100,50,50,50,50,100,20,50,100,50,40,50,100,100,100,100,40,100,100,100,100,100,50,100,50,100,100,100,50,100,50,100,100,50,100,100
Cra,100,100,50,100,100,100,100,100,100,100,100,50,100,50,100,100,100,50,50,100,50,100,50,50,100,50,50,100,100,50,50,100,100,100,100,100,100,100,100,50,50,50,50,100,20,50,100,50,40,50,100,100,100,100,40,100,100,100,100,100,50,100,50,100,100,100,50,100,50,100,100,50,100,100
DcuR,100,100,50,100,100,100,100,100,100,100,100,50,100,50,100,100,100,50,50,100,50,100,50,50,100,50,50,100,100,50,50,100,100,100,100,100,100,100,100,50,50,50,50,100,20,50,100,50,40,50,100,100,100,100,40,100,100,100,100,100,50,100,50,100,100,100,50,100,50,100,100,50,100,100
DcuS,100,100,50,100,100,100,100,100,100,100,100,50,100,50,100,100,100,50,50,100,50,100,50,50,100,50,50,100,100,50,50,100,100,100,100,100,100,100,100,50,50,50,50,100,20,50,100,50,40,50,100,100,100,100,40,100,100,100,100,100,50,100,50,100,100,100,50,100,50,100,100,50,100,100
FadR,100,100,50,100,100,100,100,100,100,100,100,50,100,50,100,100,100,50,50,100,50,100,50,50,100,50,50,100,100,50,50,100,100,100,100,100,100,100,100,50,50,50,50,100,20,50,100,50,40,50,100,100,100,100,40,100,100,100,100,100,50,100,50,100,100,100,50,100,50,100,100,50,100,100
Fnr,100,100,50,100,100,100,100,100,100,100,100,50,100,50,100,100,100,50,50,100,50,100,50,50,100,50,50,100,100,50,50,100,100,100,100,100,100,100,100,50,50,50,50,100,20,50,100,50,40,50,100,100,100,100,40,100,100,100,100,100,50,100,50,100,100,100,50,100,50,100,100,50,100,100
GalR,100,100,50,100,100,100,100,100,100,100,100,50,100,50,100,100,100,50,50,100,50,100,50,50,100,50,50,100,100,50,50,100,100,100,100,100,100,100,100,50,50,50,50,100,20,50,100,50,40,50,100,100,100,100,40,100,100,100,100,100,50,100,50,100,100,100,50,100,50,100,100,50,100,100
GalS,100,100,50,100,100,100,100,100,100,100,100,50,100,50,100,100,100,50,50,100,50,100,50,50,100,50,50,100,100,50,50,100,100,100,100,100,100,100,100,50,50,50,50,100,20,50,100,50,40,50,100,100,100,100,40,100,100,100,100,100,50,100,50,100,100,100,50,100,50,100,100,50,100,100
IclR,100,100,50,100,100,100,100,100,100,100,100,50,100,50,100,100,100,50,50,100,50,100,50,50,100,50,50,100,100,50,50,100,100,100,100,100,100,100,100,50,50,50,50,100,20,50,100,50,40,50,100,100,100,100,40,100,100,100,100,100,50,100,50,100,100,100,50,100,50,100,100,50,100,100
Lacl,100,100,50,100,100,100,100,100,100,100,100,50,100,50,100,100,100,50,50,100,50,100,50,50,100,50,50,100,100,50,50,100,100,100,100,100,100,100,100,50,50,50,50,100,20,50,100,50,40,50,100,100,100,100,40,100,100,100,100,100,50,100,50,100,100,100,50,100,50,100,100,50,100,100
