,dcuB<-DcuR,aceEF<-!PdhR,ppsA<-Cra,galE<-!GalS,rpiB<-!RpiR,mdh<-!ArcA,lpdA<-!PdhR,ndh<-!Fnr,galE<-!GalR,galK<-!GalR,IclR<-FadR,cyoABCD<-!ArcA,DcuS<-SUCCxt_b,glpF<-!GlpR,PdhR<-!SurplusPYR,galM<-!GalS,glpK<-!GlpR,LACUP<-!GLCxt_b,galM<-!GalR,lacZ<-!Lacl,galK<-!GalS,galT<-!GalR,glpD<-!GlpR,aceB<-!ArcA,dctA<-!ArcA,glpABC<-!GlpR,glpD<-!ArcA,Cra<-!SurplusFDP,fumA<-!ArcA,Mlc<-!GLCxt_b,rbsABCD<-!RbsR,sdhABCD<-!ArcA,acs<-!ETHxt_b,sdhABCD<-!Fnr,rbsK<-!RbsR,pykF<-!Cra,galT<-!GalS,sucAB<-!PdhR,cyoABCD<-!Fnr,DcuR<-DcuS,fumA<-!Fnr
Cra,100,100,100,50,100,100,100,100,50,50,100,50,100,100,100,50,100,50,50,100,50,50,50,100,100,100,50,100,50,100,100,50,100,50,100,100,50,100,50,100,50
DcuR,100,100,100,50,100,100,100,100,50,50,100,50,100,100,100,50,100,50,50,100,50,50,50,100,100,100,50,100,50,100,100,50,100,50,100,100,50,100,50,100,50
DcuS,100,100,100,50,100,100,100,100,50,50,100,50,100,100,100,50,100,50,50,100,50,50,50,100,100,100,50,100,50,100,100,50,100,50,100,100,50,100,50,100,50
IclR,100,100,100,50,100,100,100,100,50,50,100,50,100,100,100,50,100,50,50,100,50,50,50,100,100,100,50,100,50,100,100,50,100,50,100,100,50,100,50,100,50
Mlc,100,100,100,50,100,100,100,100,50,50,100,50,100,100,100,50,100,50,50,100,50,50,50,100,100,100,50,100,50,100,100,50,100,50,100,100,50,100,50,100,50
PdhR,100,100,100,50,100,100,100,100,50,50,100,50,100,100,100,50,100,50,50,100,50,50,50,100,100,100,50,100,50,100,100,50,100,50,100,100,50,100,50,100,50
aceB,100,100,100,50,100,100,100,100,50,50,100,50,100,100,100,50,100,50,50,100,50,50,50,100,100,100,50,100,50,100,100,50,100,50,100,100,50,100,50,100,50
aceEF,100,100,100,50,100,100,100,100,50,50,100,50,100,100,100,50,100,50,50,100,50,50,50,100,100,100,50,100,50,100,100,50,100,50,100,100,50,100,50,100,50
acs,100,100,100,50,100,100,100,100,50,50,100,50,100,100,100,50,100,50,50,100,50,50,50,100,100,100,50,100,50,100,100,50,100,50,100,100,50,100,50,100,50
cyoABCD,100,100,100,50,100,100,100,100,50,50,100,50,100,100,100,50,100,50,50,100,50,50,50,100,100,100,50,100,50,100,100,50,100,50,100,100,50,100,50,100,50
