node,rule_1,rule_2
ArcA,1,
Cra,!SurplusFDP,
DcuR,DcuS,
DcuS,SUCCxt_b,
FadR,1,
Fnr,1,
GalR,1,
GalS,1,
GlpR,1,
IclR,FadR,
LACUP,!GLCxt_b,
Lacl,1,
Mlc,!GLCxt_b,
PdhR,!SurplusPYR,
RbsR,1,
RpiR,1,
SurplusF6P,1,
SurplusFDP,1,
SurplusPYR,1,
aceA,1,
aceB,!ArcA,
aceEF,!PdhR,
acnA,1,
acnB,1,
acs,!ETHxt_b,
adhE,1,
cydAB,1,
cyoABCD,!Fnr,!ArcA
dctA,!ArcA,
dcuB,DcuR,
dcuC,1,
fdnGHI,1,
focA,1,
frdABCD,1,
fumA,!Fnr,!ArcA
fumB,1,
galE,!GalS,!GalR
galK,!GalS,!GalR
galM,!GalS,!GalR
galP,1,
galT,!GalS,!GalR
glpABC,!GlpR,
glpD,!GlpR,!ArcA
glpF,!GlpR,
glpK,!GlpR,
lacZ,!Lacl,
lpdA,!PdhR,
mdh,!ArcA,
ndh,!Fnr,
pflAB,1,
pflCD,1,
pgk,1,
ppsA,Cra,
ptsGHI,1,
pykF,!Cra,
rbsABCD,!RbsR,
rbsK,!RbsR,
rpiB,!RpiR,
sdhABCD,!Fnr,!ArcA
sucAB,!PdhR,
